"","V1"
"622",0.664396302127927
"623",0.75547267746902
"624",0.705436367686127
"625",0.70530031172194
"626",0.644487722159564
"627",0.680130875370372
"628",0.725295821253453
"629",0.698831039000404
"630",0.622744997427071
"631",0.703299132774922
"632",0.683789174976289
"633",0.77413986753329
"634",0.756535110661817
"635",0.624466955424412
"636",0.674259578819727
"637",0.631243135319764
"638",0.596758024933343
"639",0.541404811206352
"640",0.575956572753746
"641",0.594235488391645
"642",0.631723418432291
"643",0.47510965827436
"644",0.479489173635976
"645",0.499462921316076
"646",0.453820815432443
"647",0.480853126283732
"648",0.458226500187214
"649",0.46667688315446
"650",0.445419492598293
"651",0.435878523877878
"652",0.492753961523062
"653",0.50146904756587
"654",0.483703460164519
"655",0.534299592871323
"656",0.591315053749691
"657",0.561815338203034
"658",0.610939316477153
"659",0.63637590227292
"660",0.623015349538617
"661",0.606699047278234
"662",0.611249570727843
"663",0.655248339320553
"664",0.671873565003574
"665",0.753586684076707
"666",0.804179731741087
"667",0.846528063889461
"668",0.823958411437582
"669",0.763910156922487
"670",0.9171893862342
"671",0.953317582580552
"672",1
"673",0.999905600799894
"674",1
"675",1
"676",1
"677",1
"678",1
"679",1
"680",1
"681",1
"682",1
"683",1
"684",1
"685",1
"686",1
"687",1
"688",1
"689",1
"690",1
"691",1
"692",1
"693",1
"694",1
"695",1
"696",1
"697",1
"698",1
"699",1
"700",1
"701",1
"702",1
"703",1
"704",1
"705",1
"706",1
"707",0.927988186738149
"708",0.816325761806589
"709",0.837972169094966
"710",0.859698432954672
"711",0.832130200927478
"712",0.737919299174837
"713",0.720992761576085
"714",0.773597463441178
"715",0.612352339878989
"716",0.629205407631677
"717",0.777187750362437
"718",0.704740404681949
"719",0.701745641408966
"720",0.640915282622084
"721",0.601916745795663
"722",0.644526949042158
"723",0.648993385742777
"724",0.653632250954171
"725",0.656587407964958
"726",0.625370989896989
"727",0.622412191791923
"728",0.677094608181311
"729",0.641083137036245
"730",0.643410275471354
"731",0.611748028600473
"732",0.730728586670348
"733",0.649760290023313
"734",0.690173314656774
"735",0.673732177044299
"736",0.657137215615254
"737",0.638072708480269
"738",0.624077816658447
"739",0.636474720332245
"740",0.671592337106852
"741",0.562305836861525
"742",0.508427103114342
"743",0.449814289781014
"744",0.527333372819621
"745",0.519595064533265
"746",0.517653410109531
"747",0.505058623080711
"748",0.490304008255977
"749",0.512594484896717
"750",0.497297168207148
"751",0.526048451693
"752",0.543035126281592
"753",0.563244523386148
"754",0.617296882705205
"755",0.64096563433467
"756",0.6685849315558
"757",0.646990634102933
"758",0.670843428976953
"759",0.668243237903267
"760",0.664078256893959
"761",0.742537428152807
"762",0.818140074314616
"763",0.892787204309581
"764",0.934074210612194
"765",0.867580298826126
"766",0.923632432816376
"767",1
"768",1
"769",1
"770",1
"771",1
"772",1
"773",1
"774",1
"775",1
"776",1
"777",1
"778",1
"779",1
"780",1
"781",1
"782",1
"783",1
"784",1
"785",1
"786",1
"787",1
"788",1
"789",1
"790",1
"791",1
"792",1
"793",1
"794",1
"795",0.931402328228832
"796",0.857858696914884
"797",0.80586462993975
"798",0.76109736020401
"799",0.908015624337427
"800",0.865894629252332
"801",0.768860486422235
"802",0.769643850025666
"803",0.851932501094247
"804",0.817544702050176
"805",0.722287628830746
"806",0.7935603745231
"807",0.910106833433366
"808",0.868901252299016
"809",0.889496486986491
"810",0.934943735909444
"811",0.859411987242067
"812",0.917257655053175
"813",0.892785293074236
"814",0.933944930948684
"815",0.873530233158807
"816",0.73890599532889
"817",0.807726341481303
"818",0.796900125206278
"819",0.807256034234922
"820",0.826794098940768
"821",0.8244805587314
"822",0.846046067253517
"823",0.834716865305581
"824",0.97689363652471
"825",0.926316921220364
"826",0.913958688861765
"827",0.813933064965819
"828",0.83816834084159
"829",0.848644278533312
"830",0.962070339094306
"831",0.830682035232562
"832",0.926443079862551
"833",0.860126590575462
"834",0.816481954850199
"835",0.750183385269456
"836",0.656910326501469
"837",0.649586605125398
"838",0.608420984854043
"839",0.607080373611857
"840",0.603422927346318
"841",0.591018324442824
"842",0.568265449921531
"843",0.551530360000296
"844",0.569516228045279
"845",0.578356611862323
"846",0.500868816400913
"847",0.546868692484714
"848",0.583289105852085
"849",0.574479204974893
"850",0.603475572820139
"851",0.624950082953364
"852",0.663819060043818
"853",0.705495619581358
"854",0.690818691675572
"855",0.730530048001601
"856",0.769672563518786
"857",0.807396348711348
"858",0.853988891733059
"859",0.921129012493256
"860",0.992274435753233
"861",0.966519643101936
"862",1
"863",1
"864",1
"865",1
"866",1
"867",1
"868",1
"869",1
"870",1
"871",1
"872",1
"873",1
"874",1
"875",1
"876",1
"877",1
"878",1
"879",1
"880",1
"881",1
"882",1
"883",1
"884",1
"885",1
"886",1
"887",1
"888",1
"889",1
"890",0.949453258221663
"891",0.97862735503721
"892",0.976996249358722
"893",0.894125242636301
"894",0.923492581827314
"895",0.903533361014161
"896",0.843811220547957
"897",0.900523049498491
"898",0.811121904169811
"899",0.828132878239493
"900",0.808715456698767
"901",0.865798063759133
"902",0.832808863562053
"903",0.975973824715311
"904",0.946742253315586
"905",1
"906",0.839081837714467
"907",0.831116179275043
"908",0.925712528030422
"909",0.87867142033643
"910",0.855168573000861
"911",0.925218358123161
"912",0.948757430595519
"913",0.853661715863553
"914",0.83835065877744
"915",0.822145584828143
"916",0.870290187272237
"917",0.946636592873039
"918",0.852620911233948
"919",0.894623770363235
"920",0.960024406973769
"921",0.918179362850148
"922",0.870310985752564
"923",0.906242312731355
"924",0.923257901995003
"925",0.900151480675098
"926",0.933137782644527
"927",0.968278385245702
"928",0.979273721028521
"929",0.802955955641383
"930",0.767430509494187
"931",0.706631289608342
"932",0.703307581215035
"933",0.674899815683349
"934",0.638887204243066
"935",0.596823090656942
"936",0.552036684113157
"937",0.508770702308657
"938",0.521227861086101
"939",0.532888093049248
"940",0.518887875974771
"941",0.561464665481064
"942",0.529776764501025
"943",0.541013353332666
"944",0.576260726987884
"945",0.580594814884093
"946",0.61942239466408
"947",0.6282938740876
"948",0.700648173398679
"949",0.689117818134247
"950",0.682617223588285
"951",0.744885398202896
"952",0.768226598016734
"953",0.767052164307397
"954",0.872020437121015
"955",0.880612437459211
"956",0.860121168786115
"957",0.814932777221103
"958",0.996322884231585
"959",1
"960",1
"961",1
"962",1
"963",1
"964",1
"965",1
"966",1
"967",1
"968",1
"969",1
"970",1
"971",1
"972",1
"973",1
"974",1
"975",1
"976",1
"977",1
"978",1
"979",1
"980",1
"981",1
"982",1
"983",1
"984",1
"985",1
"986",1
"987",0.997235101299584
"988",0.957213031458984
"989",0.941700255374915
"990",0.866099909688502
"991",0.754569608989017
"992",0.871524510360556
"993",0.76143563849858
"994",0.709226917379663
"995",0.77035185065292
"996",0.779643549431824
"997",0.700851157658892
"998",0.734114111227548
"999",0.866517102767484
"1000",0.746252876413016
"1001",0.766510911941433
"1002",0.749566841428208
"1003",0.753961191530799
"1004",0.74196233044552
"1005",0.826852061511631
"1006",0.792448051391068
"1007",0.804098765008915
"1008",0.617151423645852
"1009",0.704633489144091
"1010",0.833985805454128
"1011",0.904225261165529
"1012",0.967155409232307
"1013",0.799998264724658
"1014",0.726336261089489
"1015",0.71704259748681
"1016",0.79982635049494
"1017",0.918009865937037
"1018",0.916872463952476
"1019",0.855475806484022
"1020",0.881453294565079
"1021",0.768894105573359
"1022",0.809394903385162
"1023",0.842867287232653
"1024",0.787555881113834
"1025",0.790968365826507
"1026",0.780170457008318
"1027",0.727648778694807
"1028",0.652201569605
"1029",0.650420051244559
"1030",0.633879838485196
"1031",0.63438372587762
"1032",0.574120783590766
"1033",0.555292202081795
"1034",0.530932320358367
"1035",0.532847472509187
"1036",0.522307213891789
"1037",0.495907622858626
"1038",0.508212001201102
"1039",0.539920315990452
"1040",0.598716508491691
"1041",0.643437656627729
"1042",0.630532489507635
"1043",0.677065163253762
"1044",0.716528359370166
"1045",0.774996905918373
"1046",0.796258615343719
"1047",0.783887666040504
"1048",0.827331722876799
"1049",0.849644006400632
"1050",0.927607316479336
"1051",0.935824175548798
"1052",0.854014181503372
"1053",0.89926116972275
"1054",1
"1055",1
"1056",1
"1057",1
"1058",1
"1059",1
"1060",1
"1061",1
"1062",1
"1063",1
"1064",1
"1065",1
"1066",1
"1067",1
"1068",1
"1069",1
"1070",1
"1071",1
"1072",1
"1073",1
"1074",1
"1075",1
"1076",1
"1077",1
"1078",1
"1079",1
"1080",1
"1081",1
"1082",1
"1083",0.9784137199639
"1084",1
"1085",0.780121244146118
"1086",0.911252695440356
"1087",0.849175709204518
"1088",0.942948723754235
"1089",0.701504423200384
"1090",0.73522895908807
"1091",0.752159790972702
"1092",0.753458468295667
"1093",0.944327354579827
"1094",0.905039328598956
"1095",0.886456042454367
"1096",0.993599938311389
"1097",0.997643129041251
"1098",0.948891426314392
"1099",1
"1100",1
"1101",1
"1102",0.979354247937704
"1103",1
"1104",0.991640488472662
"1105",1
"1106",1
"1107",1
"1108",1
"1109",1
"1110",0.972744469734802
"1111",0.935038030914159
"1112",0.874224299719124
"1113",0.974655825394015
"1114",0.99855630782101
"1115",0.912004993949463
"1116",0.891377710796655
"1117",0.926114414451935
"1118",0.855580692088452
"1119",0.916864441964564
"1120",0.953143356632718
"1121",0.989171189438703
"1122",0.862130898391126
"1123",0.806905779623236
"1124",0.664875747697002
"1125",0.672176672129901
"1126",0.667604804417062
"1127",0.637126624405493
"1128",0.613106811636425
"1129",0.564865693913263
"1130",0.550565007709202
"1131",0.620633201134538
"1132",0.566306674616782
"1133",0.592526860755973
"1134",0.621395116395776
"1135",0.586130506468693
"1136",0.591852351590898
"1137",0.657040822869343
"1138",0.676514531043565
"1139",0.708228441533012
"1140",0.749669850856813
"1141",0.780617911114855
"1142",0.759992644096987
"1143",0.729981206470747
"1144",0.765068476493121
"1145",0.836999709114602
"1146",0.870061836359759
"1147",0.917274634026288
"1148",1
"1149",0.980155286550155
"1150",1
"1151",1
"1152",1
"1153",1
"1154",1
"1155",1
"1156",1
"1157",1
"1158",1
"1159",1
"1160",1
"1161",1
"1162",1
"1163",1
"1164",1
"1165",1
"1166",1
"1167",1
"1168",1
"1169",1
"1170",1
"1171",1
"1172",1
"1173",1
"1174",1
"1175",1
"1176",1
"1177",1
"1178",0.954724674574183
"1179",0.955540175408961
"1180",1
"1181",0.900326031783577
"1182",0.815079754030978
"1183",0.892936826119315
"1184",0.95425696723587
"1185",0.941069893446506
"1186",0.846428961316512
"1187",0.873525292415247
"1188",0.873873268156213
"1189",0.851570608718078
"1190",0.763213549319639
"1191",1
"1192",0.982962187522257
"1193",0.966864992106537
"1194",0.922287949748222
"1195",0.99475674552883
"1196",0.993848956363994
"1197",1
