"","V1","V2","V3"
"137",16.2375486356,1.8682089722,17.0738790571
"138",16.413945256,1.8413028214,17.6119385139
"139",16.3049134535,1.616671493,18.1627343676
"140",16.0942072386,1.7876451905,17.8255935434
"141",16.2231474563,1.6225125262,20.0841545
"142",16.5171006281,1.7814357871,18.1817850217
"143",16.3912317964,1.5963980078,18.7483651735
"144",16.6304421634,1.7652380474,18.4294672706
"145",17.2021914895,1.6111549783,19.9018510395
"146",21.052182386,1.7441554684,19.3195877418
"147",20.5022532972,1.6189954942,23.2067685296
"148",18.9554105123,1.7246900139,21.3454202675
"149",19.4677701111,1.6533000398,19.0765459994
"150",18.6775888508,1.7413721933,17.8166675401
"151",17.9821830476,1.6801305033,20.8666942695
"152",17.624146484,1.679745374,17.9755854336
"153",16.9407469528,1.6823463651,19.7837297918
"154",16.7538157746,1.3352027954,17.3920442254
"155",16.8281156859,1.4391408756,17.4563984413
"156",15.8560766086,1.2990877839,15.226303024
"157",15.4913511535,1.4616368585,16.7158305051
"158",15.376321399,1.5337465684,18.3664370086
"159",15.3344907468,1.9799522655,19.212809559
"160",15.2518967805,1.5577062246,18.9618393134
"161",15.1880087852,1.8268899778,19.5058387957
"162",15.1875737066,1.6045437066,19.3680423791
"163",15.1922608836,1.8793550112,20.9924020621
"164",15.1899572944,1.5502784133,21.061723881
"165",15.1944692751,1.9541938738,23.6121305838
"166",15.1947388632,1.6730409197,22.2464525521
"167",15.1940570681,2.1768852123,25.4290063406
"168",15.1959804027,1.7881723693,25.0733561366
"169",15.1992831457,1.9345011817,27.4330664317
"170",15.1999147023,1.6838274754,25.0553968208
"171",15.1962966061,1.8108046331,23.1622549015
"172",15.1927724275,1.6888758915,25.3826897335
"173",15.1934139946,1.5834764439,28.6238710209
"174",15.1978588,1.5969004058,30.4029200358
"175",15.1965617677,1.578490556,24.3055718123
"176",15.1969055896,1.4452366691,24.8160576794
"177",15.1954967674,0.6593687342,23.9593597531
"178",15.1988146965,0.2158977587,23.394756325
"179",15.1976335772,0.2218644025,22.8378771864
"180",15.1980255268,0.2176957285,22.9906471097
"181",15.1999056462,0.2148078846,22.4549304861
"182",15.2018493814,0.2152102528,20.97303092
"183",15.1971539869,0.1246576007,20.168526678
"184",15.1166387186,0.0857787623,19.0115214075
"185",15.1582265401,0.0038596628,17.6220734464
"186",15.169714985,0.0048589633,15.9375135584
"187",15.1539018707,0.0049536639,16.0352944694
"188",15.1524808289,0.0049648426,16.1869726168
"189",13.9381038031,0.0130346082,14.5055264158
"190",14.7350581116,0.0079443562,15.0501362838
"191",15.1499123356,0.003846565,13.8025597308
