"","V1","V2","V3","V4","V5","V6","V7","V8"
"81",0.1437051226,-0.3890947931,-0.0024586393,-0.0024288077,-2.6e-06,1.3382120704,12.3612165502,1.3453998346
"82",0.1421249877,-0.2132643591,-0.0024495579,-0.0024222653,-1.4e-06,1.3389465372,12.3616754411,1.3448971073
"83",0.1406054587,-0.3876945122,-0.0014902575,-0.0024346767,-2e-06,1.3393763504,12.3615231392,1.344658804
"84",0.1414816839,-0.2082697084,-0.0022982635,-0.0024198591,-3.2e-06,1.3402291069,12.3619406321,1.3455805725
"85",0.1410341219,-0.3963797853,-0.002481234,-0.0024314697,-2e-06,1.3384255446,12.3615451301,1.3460065013
"86",0.1412353484,-0.2133147857,-0.0024839613,-0.002441548,-2e-06,1.3383267536,12.3610795968,1.3449241237
"87",0.1418951685,-0.2847934092,-0.002485624,-0.0024373148,-2.6e-06,1.3379026131,12.3622130788,1.3448446487
"88",0.0379313143,-0.0541843063,-0.0024880182,-0.0024347244,-8e-07,1.3384060446,12.362087975,1.3451303273
"89",0,0.2912084768,-0.0014406765,-0.0023868095,-1.8e-06,1.3388100116,12.3613941699,1.345251051
"90",0,0.1114164404,-0.002347748,-0.0023876268,-1.1e-06,1.3392681851,12.3620189937,1.3461904914
"91",0,0.2744518003,-0.0024569185,-0.0023894704,-1.5e-06,1.336315656,12.3621093022,1.3460057869
"92",0,0.0951772168,-0.0024712544,-0.0023848614,-1.9e-06,1.3376285307,12.3653194906,1.3451194169
"93",0,0.2618735154,-0.0024599319,-0.0023863823,-2e-06,0.0869700898,12.3614714493,1.3429142081
"94",0,0.111532759,-0.0024651288,-0.0023905256,-2.6e-06,1.1695360377,12.3622613064,1.3434616311
"95",0,0.2325845055,-0.0014622572,-0.0023913841,-4e-06,1.3502816246,12.3617451858,1.3425201534
"96",0,0.1305755413,-0.0011083075,-0.0023878794,-1.1e-06,1.3482533023,12.3622063707,1.345503552
"97",0,0.217390226,-0.0011064075,-0.0024027559,-2e-06,1.3479856222,12.3626012497,1.3516242386
"98",0,0.1526051016,-0.0011050075,-0.0024003533,-2.3e-06,1.3466413809,12.3629223579,1.3514974233
"99",0,0.1977875912,-0.0011197635,-0.0024086667,-1.1e-06,1.3458379821,12.361679605,1.3484282428
"100",0,0.1706193687,-0.0011207982,-0.0024093872,-2e-06,1.3445511059,12.3620659052,1.3461055103
"101",0,0.2086504906,-0.001123862,-0.0024134301,-1.2e-06,1.3434112282,12.3619565109,1.3447314214
"102",0,0.1530279616,-0.0011241075,-0.0024169237,-1.4e-06,1.3435447926,12.3618336563,1.3449534313
"103",0,0.2026727011,-0.0011195539,-0.0024287841,-1.7e-06,1.3461110281,12.3618373937,1.3438474312
"104",0,0.1624934651,-0.0011199156,-0.0024317091,-2.3e-06,1.3439271363,12.3605303633,1.3450987669
"105",0,0.3800107641,-0.0011170543,-0.0024282221,-2.6e-06,1.3433424534,12.3612469995,1.3465836194
"106",0.0284482143,0.3232576596,-0.0011166075,-0.0024347622,-1.1e-06,1.3401755691,12.3621906809,1.3462036771
"107",0.1756956584,0.1215233141,-0.002279535,-0.0024321346,-9e-07,1.3385309671,12.362246539,1.3461955039
"108",0.1766700308,0.2412465696,-0.0015232462,-0.002448402,-4.6e-06,1.3417412022,12.3615057472,1.346444602
"109",0.1742779022,0.1165702746,-0.0011164075,-0.0024262143,-1.8e-06,1.3431036519,12.3615901514,1.3458374092
"110",0.1737564151,0.2604150811,-0.0011187088,-0.0024322696,-5e-07,1.3432207498,12.3618463701,1.3445211802
"111",0.1741640606,0.0975076388,-0.0023297942,-0.0024373151,-2.6e-06,1.3426735726,12.3616342667,1.3074386806
"112",0.1736480446,0.2686465151,-0.0024612872,-0.0024388717,-4e-06,1.3444576794,12.3622778919,1.325939752
"113",0.1736499107,0.0995136071,-0.0024670163,-0.0024414413,-1.7e-06,1.3424555111,12.3620305566,1.3482967539
"114",0.173611166,0.2756714642,-0.0024704558,-0.0024341892,-1.4e-06,1.34536228,12.3619059383,1.3503552261
"115",0.1734242374,0.094518934,-0.0024705872,-0.0024307839,-2e-06,1.3414545839,12.3625030188,1.350319283
"116",0.173269258,0.2695038461,-0.00246,-0.0024218327,-1.7e-06,1.3420132561,12.36152872,1.3507933491
"117",0.1743836743,0.0982263651,-0.0024532424,-0.0023971811,-2.6e-06,1.3410926788,12.3621760705,1.3507499534
"118",0.1743118607,0.2360979601,-0.0024582668,-0.0023932664,-2e-06,1.34185584,12.3617700677,1.3513205228
"119",0.1722571869,0.1307838276,-0.0014616188,-0.0024065731,-1.4e-06,1.3416767277,12.361617417,1.3484731505
"120",0.1604606885,-0.0249022523,-0.002315492,-0.0024191687,-6e-07,1.3399301374,12.3618132559,1.340331044
"121",0.1615924396,-0.2841468539,-0.002472612,-0.0023848533,-1.4e-06,1.3418077687,12.3619436507,1.3414907682
