"","V1"
"481",13.1641038681
"482",12.5203466912
"483",12.3315586937
"484",11.9487654449
"485",11.5580088798
"486",11.1435681578
"487",10.3908733459
"488",10.8703285014
"489",10.3801894651
"490",10.8600549684
"491",10.9430985668
"492",11.18763806
"493",10.2483205132
"494",10.6184514085
"495",10.305778228
"496",10.3202923452
"497",10.3216644294
"498",10.5920214726
"499",10.8356031735
"500",10.5019311263
"501",10.5938901744
"502",10.5403186923
"503",11.596738316
"504",12.8905329736
"505",13.92065442
"506",14.6314554507
"507",14.0118605286
"508",12.9368361031
"509",13.9655855662
"510",14.4565345033
"511",15.1498432256
"512",16.3199026136
"513",18.9525864711
"514",16.4619285318
"515",17.6058090415
"516",18.3090155558
"517",18.7689995515
"518",17.7478359603
"519",17.7624870268
"520",17.5915425732
"521",20.2239554358
"522",16.509166095
"523",18.033430538
"524",19.4793210859
"525",22.2470512586
"526",19.1696562973
"527",18.0037857293
"528",19.2517975343
"529",18.7187316816
"530",17.910379005
"531",16.7257096499
"532",17.6231593593
"533",17.2722099843
"534",19.270314355
"535",19.7935954488
"536",17.8353169023
"537",15.4473215352
"538",18.4645180197
"539",18.0114345473
"540",17.5387342634
"541",19.3628743921
"542",18.596610885
"543",17.3590981091
"544",17.5771164901
"545",16.3516021161
"546",16.7588490769
"547",19.356239315
"548",21.1802263325
"549",25.6962522548
"550",26.0681989218
"551",30.8736386134
"552",26.7257108909
"553",25.8798130539
"554",25.8312971251
"555",28.4146754805
"556",27.1851870913
"557",25.6712025435
"558",26.7203117214
"559",27.6819216859
"560",26.0026834992
"561",24.9638909421
"562",24.0745874086
"563",22.0657127073
"564",22.1423205502
"565",20.7429621684
"566",20.8140589792
"567",20.9730828062
"568",19.9023936926
"569",17.8446906385
"570",17.5494317373
"571",17.1229025006
"572",16.1286340288
"573",16.1700284362
"574",17.472178619
"575",14.8705711268
"576",13.7545868581
"577",13.2437940288
"578",12.7526795941
"579",12.7871093406
"580",13.607744255
"581",13.0999943811
"582",12.954335796
"583",10.884834339
"584",10.5542198212
"585",10.473038771
"586",10.5954006417
"587",10.8693667061
"588",11.2774826036
"589",10.2417056291
"590",10.5390897255
"591",10.7424624815
"592",10.430353554
"593",10.2686140148
"594",10.2498709502
"595",9.7677909742
"596",9.9904950021
"597",10.4787498771
"598",10.3806941109
"599",11.1565653844
"600",11.3037307834
"601",11.7419046499
"602",11.3193213044
"603",12.127996812
"604",11.7358240936
"605",12.4845484481
"606",12.6865059138
"607",14.2654162041
"608",13.9649288474
"609",16.1985188368
"610",16.1507962971
"611",17.5035766675
"612",18.9916484673
"613",18.8900505737
"614",19.3605578056
"615",18.8507277055
"616",21.5795742748
"617",24.113309776
"618",24.7375657315
"619",28.0257143453
"620",21.876142446
"621",23.7488103198
"622",23.5159739867
"623",20.7439657814
"624",22.2583264132
"625",22.3451468316
"626",24.4136154237
"627",22.9634268653
"628",21.5618126336
"629",22.326354437
"630",25.0727506384
"631",22.2261468127
"632",22.8474397983
"633",20.0853792365
"634",20.4469559415
"635",24.6438117028
"636",22.7323849735
"637",24.2742904487
"638",25.6594343416
"639",28.2219468657
"640",26.4221074963
"641",25.54931238
"642",24.0214491596
"643",31.9427226578
"644",31.6510282998
"645",30.3906488724
"646",33.44720096
"647",31.5811363051
"648",33.1350297115
"649",32.5386629986
"650",34.0956073604
"651",34.8533423559
"652",30.8244286117
"653",30.2890166961
"654",31.3984770151
"655",28.4158648415
"656",25.6764657619
"657",27.0168648057
"658",24.8466910202
"659",23.8506529518
"660",24.3607853515
"661",25.0065063467
"662",24.8172148835
"663",23.1471871015
"664",22.4590552763
"665",20.3078509822
"666",18.8312197853
"667",18.0444260624
"668",18.3824586078
"669",18.1814425286
"670",16.549654864
"671",15.8848533022
"672",14.8445543785
"673",15.1442257816
"674",13.4736930291
"675",12.9744898616
"676",12.436310539
"677",11.6154415455
"678",11.4680367132
"679",10.7879984365
"680",10.6780145945
"681",10.4486156638
"682",10.674971815
"683",9.6484603545
"684",10.4332216986
"685",9.999040294
"686",9.5905403483
"687",9.0756100597
"688",9.3024734034
"689",9.353421262
"690",9.60140574
"691",10.0620350496
"692",9.9984384278
"693",9.5153707222
"694",9.6035053564
"695",10.2200974745
"696",10.0845354483
"697",10.7553673166
"698",10.4359073685
"699",11.4569901634
"700",10.9903528658
"701",13.8317587298
"702",12.3605059756
"703",11.9476548334
"704",12.7607862971
"705",12.7845281446
"706",14.8933106847
"707",16.3706875914
"708",18.6059016932
"709",18.1323272452
"710",17.6800870606
"711",18.2732414928
"712",20.6086142272
"713",21.1030340584
"714",19.6878611925
"715",24.9116070392
"716",24.2605542609
"717",19.6806113642
"718",21.7807330423
"719",21.8111736319
"720",23.8105110948
"721",25.3119402843
"722",23.6757397598
"723",23.5089762689
"724",23.3399196668
"725",23.2482059711
"726",24.4363827993
"727",24.5420507939
"728",22.5154120402
"729",23.798775905
"730",23.7320767697
"731",24.9278354011
"732",20.8254212553
"733",23.4254220772
"734",22.0494736518
"735",22.5762252559
"736",23.1299570994
"737",23.8077889402
"738",24.3337368654
"739",23.8584458922
"740",22.6111924429
"741",27.0117605609
"742",29.8757989233
"743",33.76695119
"744",28.7965689816
"745",29.2225817694
"746",29.3294041654
"747",30.0764921447
"748",30.9892974213
