"","V1","V2","V3","V4","V5","V6","V7","V8"
"58",0,0.1605780736,8e-06,0,0,0,0,0
"59",0,0.1971164484,2.1e-06,0,0,0,0,0
"60",0,0.102000151,5.29e-05,0,0,0,0,0
"61",0,0.258118079,0.0013338646,0,0,0,0,0
"62",0,0.1060801614,0.0020544704,0,0,0,0,0
"63",0,0.4581819875,0.0021984406,0,0,0,0,0
"64",0,0.2266717106,0.0021891808,0,0,0,0,0
"65",0,0.2796664342,0.0023904652,0,1.3e-06,0,0,0
"66",0,0.1157846908,0.0025047957,0,2.15e-05,0,0,0
"67",0,0.275313577,0.0025032051,0.0010755202,1.2e-06,0,0,0
"68",0,0.111162555,0.0024903784,0.0021332485,2e-06,0,0,0
"69",0,0.3616030943,0.0024880784,0.0023862246,1.4e-06,0,0,0
"70",0,0.238227058,0.0024954756,0.002378427,8e-07,0,0,0
"71",0,0.3732804157,0.001375514,0.0023901339,9e-07,0,0,0
"72",0,0.2139936199,0.0022633497,0.0023794056,1.7e-06,0,0,0
"73",0,0.3648716702,0.0024522147,0.0023945961,0,0,0,0
"74",0,0.2288693421,0.0024584248,0.0023955467,1.7e-06,0,0,0
"75",0,0.377539676,0.002463692,0.0024195792,2e-06,0,0,0
"76",0,0.2083230576,0.0024670395,0.0024079063,8e-07,0,0,0
"77",0,0.3823866745,0.0024724007,0.0024127766,1.5e-06,0,0,0
"78",0,0.2140171516,0.0024608698,0.0024256681,2.9e-06,0,0,0
"79",0,0.3809594287,0.0024568413,0.0024164714,1.7e-06,0,0,0
"80",0,0.20791994,0.0024622265,0.0024095636,1.1e-06,0,0,0
"81",0,0.3890947931,0.0024586393,0.0024288077,2.6e-06,0,0,0
"82",0,0.2132643591,0.0024495579,0.0024222653,1.4e-06,0,0,0
"83",0,0.3876945122,0.0014902575,0.0024346767,2e-06,0,0,0
"84",0,0.2082697084,0.0022982635,0.0024198591,3.2e-06,0,0,0
"85",0,0.3963797853,0.002481234,0.0024314697,2e-06,0,0,0
"86",0,0.2133147857,0.0024839613,0.002441548,2e-06,0,0,0
"87",0,0.2847934092,0.002485624,0.0024373148,2.6e-06,0,0,0
"88",0,0.0803807521,0.0024880182,0.0024347244,8e-07,0,0,0
"89",0,0,0.0014406765,0.0023868095,1.8e-06,0,0,0
"90",0,0,0.002347748,0.0023876268,1.1e-06,0,0,0
"91",0,0,0.0024569185,0.0023894704,1.5e-06,0,0,0
"92",0,0,0.0024712544,0.0023848614,1.9e-06,0,0,0
"93",0,0,0.0024599319,0.0023863823,2e-06,0.0079211855,0,0
"94",0,0,0.0024651288,0.0023905256,2.6e-06,0.0022769145,0,0
"95",0,0.0008325,0.0014622572,0.0023913841,4e-06,0,0,0
"96",0,0,0.0011083075,0.0023878794,1.1e-06,0,0,0
"97",0,0,0.0011064075,0.0024027559,2e-06,0,0,0
"98",0,0,0.0011050075,0.0024003533,2.3e-06,0,0,0
"99",0,0,0.0011197635,0.0024086667,1.1e-06,0,0,0
"100",0,0,0.0011207982,0.0024093872,2e-06,0,0,0
"101",0,0,0.001123862,0.0024134301,1.2e-06,0,0,0
"102",0,0,0.0011241075,0.0024169237,1.4e-06,0,0,0
"103",0,0,0.0011195539,0.0024287841,1.7e-06,0,0,0
"104",0,0,0.0011199156,0.0024317091,2.3e-06,0,0,0
"105",0,0,0.0011170543,0.0024282221,2.6e-06,0,0,0
"106",0,0,0.0011166075,0.0024347622,1.1e-06,0,0,0
"107",0,0,0.002279535,0.0024321346,9e-07,0,0,0
"108",0,0,0.0015232462,0.002448402,4.6e-06,0,0,0
"109",0,0,0.0011164075,0.0024262143,1.8e-06,0,0,0
"110",0,0,0.0011187088,0.0024322696,5e-07,0,0,0
"111",0,0,0.0023297942,0.0024373151,2.6e-06,0,0,0.000668414
"112",0,0,0.0024612872,0.0024388717,4e-06,0,0,0.001847886
"113",0,0,0.0024670163,0.0024414413,1.7e-06,0,0,0
"114",0,0,0.0024704558,0.0024341892,1.4e-06,0,0,0
"115",0,0,0.0024705872,0.0024307839,2e-06,0,0,0
"116",0,0,0.00246,0.0024218327,1.7e-06,0,0,0
"117",0,0,0.0024532424,0.0023971811,2.6e-06,0,0,0
"118",0,0,0.0024582668,0.0023932664,2e-06,0,0,0
"119",0,0.0002189,0.0014616188,0.0024065731,1.4e-06,0,0,0
"120",0,0.1106637239,0.002315492,0.0024191687,6e-07,0,0,0
"121",0,0.2841468539,0.002472612,0.0023848533,1.4e-06,0,0,0
"122",0,0.2653897068,0.0024790055,0.0024249749,2e-06,0,0,0
"123",0,0.3322223215,0.0024816993,0.0024405867,2.6e-06,0,0,0
"124",0,0.2281920692,0.002477787,0.0024322915,3.4e-06,0,0,0
"125",0,0.3725962768,0.0024731935,0.0024121641,1.5e-06,0,0,0
"126",0,0.2358453145,0.0024760138,0.0024065462,2.6e-06,0,0,0
"127",0,0.5577449449,0.0024735217,0.0023570447,2.3e-06,0,0,0
"128",0,0.682447335,0.0024739597,0.002103232,2.3e-06,0,0,0
"129",0,0.6676657717,0.0024768275,0.0015126955,9e-07,0,0,0
"130",0,1.2058205008,0.0024812073,0,2e-06,0,0,0
"131",0,1.6725918179,0.0024827303,0,3e-07,0,0,0
"132",0,1.8667658274,0.0024848876,0,1.7e-06,0,0,0
"133",0,1.5592270769,0.0024862448,0,1.2e-06,0,0,0
"134",0,1.8623636483,0.0024949005,0,8e-07,0,0,0
"135",0,1.5784057456,0.002488478,0,9e-07,0,0,0
