"","V1","V2"
"331",15.4149710025,NA
"332",15.6928181249,NA
"333",15.8426597678,NA
"334",15.9233563063,NA
"335",15.6643389349,NA
"336",15.7177358341,NA
"337",15.7661161809,NA
"338",16.0571742629,NA
"339",16.0920390807,NA
"340",15.9943378148,NA
"341",15.6344534171,NA
"342",15.5400943982,NA
"343",15.4761341324,NA
"344",15.3769010436,NA
"345",15.3993811114,NA
"346",15.4448605648,NA
"347",15.4193390556,NA
"348",15.2988551837,NA
"349",15.3590714625,NA
"350",15.3652184828,NA
"351",15.2619944186,NA
"352",15.1965634965,NA
"353",15.1951796187,NA
"354",15.1918711637,NA
"355",15.1948167271,NA
"356",15.2012579647,NA
"357",15.195642471,NA
"358",15.1891363359,NA
"359",15.190457547,NA
"360",15.1947096328,NA
"361",15.1958806553,NA
"362",15.197015034,NA
"363",15.1970407964,NA
"364",15.1999531626,NA
"365",15.2073002011,NA
"366",15.2067038882,NA
"367",15.2020358783,NA
"368",15.2041363108,NA
"369",15.1994203839,NA
"370",15.1993915786,NA
"371",15.1978254317,NA
"372",15.1955495816,NA
"373",15.1935348621,NA
"374",15.1967187401,NA
"375",15.2010870362,NA
"376",15.1235492536,NA
"377",15.1556681084,NA
"378",15.1642931938,NA
"379",15.1551571844,NA
"380",15.1598900036,NA
"381",13.8888406589,NA
"382",12.8906858876,NA
"383",12.3872820098,NA
"384",11.9215826599,NA
"385",11.584994086,NA
"386",11.004083278,NA
"387",10.175074897,NA
"388",10.444216791,NA
"389",10.5047559081,NA
"390",9.6136060777,NA
"391",9.1482067782,NA
"392",9.6828885044,NA
"393",10.5255429398,NA
"394",9.4618452863,NA
"395",9.4463219048,NA
"396",9.1347111894,NA
"397",9.1817529844,NA
"398",9.5140326392,NA
"399",9.0891188958,NA
"400",8.8433046258,NA
"401",9.2231029395,NA
"402",8.7404103618,NA
"403",8.9181120883,NA
"404",9.5184239269,NA
"405",10.4404939456,NA
"406",10.1123490302,NA
"407",10.6973633579,NA
"408",11.3722124779,NA
"409",12.1121403333,NA
"410",11.5913556371,NA
"411",12.4028349111,NA
"412",13.8446315156,NA
"413",12.8420643742,NA
"414",14.3029759409,NA
"415",14.5187997984,NA
"416",15.2176869103,NA
"417",15.2148776397,NA
"418",14.6152413046,NA
"419",15.0597779512,NA
"420",15.2163982664,NA
"421",15.2628953143,NA
"422",15.3701783083,NA
"423",15.4443722839,NA
"424",15.6440903279,NA
"425",15.7585009682,NA
"426",15.9316973765,NA
"427",16.0578691041,NA
"428",16.1055577361,NA
"429",16.1901280044,NA
"430",16.5269646619,NA
"431",16.6450911169,NA
"432",16.8254336486,NA
"433",16.962053015,NA
"434",16.9754921951,NA
"435",16.5590602848,NA
"436",16.2621933375,NA
"437",16.1808638285,NA
"438",16.0751554887,NA
"439",15.8504122144,NA
"440",16.0199534448,NA
"441",16.0986345181,NA
"442",15.8351610066,NA
"443",15.7612451897,NA
"444",15.7022668049,NA
"445",15.6044685417,NA
"446",15.5635134513,NA
"447",15.4152350166,NA
"448",15.2685306634,NA
"449",15.2416603435,NA
"450",15.2058165474,NA
"451",15.1991905415,NA
"452",15.2032496928,NA
"453",15.2010414927,NA
"454",15.1909821757,NA
"455",15.1921822388,NA
"456",15.1941911268,NA
"457",15.1998488118,NA
"458",15.1982884945,NA
"459",15.1967730187,NA
"460",15.1979427189,NA
"461",15.2027969101,NA
"462",15.2007785712,NA
"463",15.1976342154,NA
"464",15.1970888771,NA
"465",15.2025469532,NA
"466",15.204536133,NA
"467",15.2001281937,NA
"468",15.1991376948,NA
"469",15.2003657818,NA
"470",15.1999308341,NA
"471",15.2044399987,NA
"472",15.1190507724,NA
"473",15.1941848463,NA
"474",15.2774491161,NA
"475",15.1499635412,NA
"476",15.2851229328,NA
"477",13.9085043002,NA
"478",14.661515687,NA
"479",13.2844293822,NA
"480",13.4536632694,NA
"481",13.1641038681,NA
"482",12.5203466912,NA
"483",12.3315586937,NA
"484",11.9487654449,NA
"485",11.5580088798,NA
"486",11.1435681578,NA
"487",10.3908733459,NA
"488",10.8703285014,NA
"489",10.3801894651,NA
"490",10.8600549684,NA
"491",10.9430985668,NA
"492",11.18763806,NA
"493",10.2483205132,NA
"494",10.6184514085,NA
"495",10.305778228,NA
"496",10.3202923452,NA
"497",10.3216644294,NA
"498",10.5920214726,NA
"499",10.8356031735,NA
"500",10.5019311263,NA
"501",10.5938901744,NA
"502",10.5403186923,NA
"503",11.596738316,NA
"504",12.8905329736,NA
"505",13.92065442,NA
"506",14.6314554507,NA
"507",14.0118605286,NA
"508",12.9368361031,NA
"509",13.9655855662,NA
"510",14.4565345033,NA
"511",15.1498432256,NA
"512",15.2169638207,NA
"513",15.2100572952,NA
"514",15.207161763,NA
"515",15.208260717,NA
"516",15.2131938571,NA
"517",15.3184373846,NA
"518",15.5078801935,NA
"519",15.6536596869,NA
"520",15.7265646153,NA
"521",15.7265035696,NA
"522",15.8858731017,NA
"523",16.1745430393,NA
"524",16.2687193183,NA
"525",16.3852460425,NA
"526",16.1340673936,NA
"527",16.078853853,NA
"528",16.1486675738,NA
"529",16.1836791381,NA
"530",15.845676848,NA
"531",15.8726216116,NA
"532",16.2609114591,NA
"533",16.4813202446,NA
"534",16.4584783083,NA
"535",16.3665069435,NA
"536",16.1941168795,NA
"537",15.4473215352,NA
"538",15.6536056416,NA
"539",15.813191856,NA
"540",15.7094513161,NA
"541",15.6187452542,NA
"542",15.507811111,NA
"543",15.4103213127,NA
"544",15.293945523,NA
"545",15.2149117079,NA
"546",15.1809649742,NA
"547",15.1797610702,NA
"548",15.1860840375,NA
"549",15.1865572684,NA
"550",15.1875864571,NA
"551",15.1989815103,NA
"552",15.1967534715,NA
"553",15.1924303682,NA
"554",15.1884478233,NA
"555",15.1888800108,NA
"556",15.1893432572,NA
"557",15.1922866944,NA
"558",15.187860574,NA
"559",15.1825812127,NA
"560",15.187937679,NA
"561",15.1895017414,NA
"562",15.1936441291,NA
"563",15.1909142712,NA
"564",15.1909958502,NA
"565",15.186666041,NA
"566",15.1894923131,NA
"567",15.1918269072,NA
"568",15.1088221069,NA
"569",15.1596440342,NA
"570",15.3103585996,NA
"571",15.139590991,NA
"572",15.3164783743,NA
"573",13.8920715352,NA
"574",15.0587933956,NA
"575",14.8705711268,NA
"576",13.7545868581,NA
"577",13.2437940288,NA
"578",12.7526795941,NA
"579",12.7871093406,NA
"580",13.607744255,NA
"581",13.0999943811,NA
"582",12.954335796,NA
"583",10.884834339,NA
"584",10.5542198212,NA
"585",10.473038771,NA
"586",10.5954006417,NA
"587",10.8693667061,NA
"588",11.2774826036,NA
"589",10.2417056291,NA
"590",10.5390897255,NA
"591",10.7424624815,NA
"592",10.430353554,NA
"593",10.2686140148,NA
"594",10.2498709502,NA
"595",9.7677909742,NA
"596",9.9904950021,NA
"597",10.4787498771,NA
"598",10.3806941109,NA
"599",11.1565653844,NA
"600",11.3037307834,NA
"601",11.7419046499,NA
"602",11.3193213044,NA
"603",12.127996812,NA
"604",11.7358240936,NA
"605",12.4845484481,NA
"606",12.6865059138,NA
"607",14.2654162041,NA
"608",13.9649288474,NA
"609",15.1978106926,NA
"610",15.1961874519,NA
"611",15.1952643112,NA
"612",15.195292344,NA
"613",15.2043769578,NA
"614",15.2487482238,NA
"615",15.2995168139,NA
"616",15.3436173062,NA
"617",15.4064642167,NA
"618",15.4603983113,NA
"619",15.5199915014,NA
"620",15.5721467096,NA
"621",15.6145589791,NA
"622",15.6239261577,NA
"623",15.6714993702,NA
"624",15.7018329357,NA
"625",15.7600390258,NA
"626",15.7342753941,NA
"627",15.6181356154,NA
"628",15.6386926018,NA
"629",15.6023494683,NA
"630",15.6139300318,NA
"631",15.6316297783,NA
"632",15.62283201,NA
"633",15.5488928215,NA
"634",15.4688400759,NA
"635",15.3892460641,NA
"636",15.3275283178,NA
"637",15.3229792105,NA
"638",15.3124733586,NA
"639",15.2794978147,NA
"640",15.2179864785,NA
"641",15.1823081202,NA
"642",15.1749119788,NA
"643",15.1762960463,NA
"644",15.1763254042,NA
"645",15.1790022665,NA
"646",15.1790360136,NA
"647",15.1858881239,NA
"648",15.1833486983,NA
"649",15.1850418302,NA
"650",15.1868481303,NA
"651",15.1918234183,NA
"652",15.1888593101,NA
"653",15.1890043543,NA
"654",15.1875519761,NA
"655",15.1825850159,NA
"656",15.1828807321,NA
"657",15.178489038,NA
"658",15.1798204286,NA
"659",15.177980792,NA
"660",15.1771432008,NA
"661",15.1714235763,NA
"662",15.1695119442,NA
"663",15.1671559082,NA
"664",15.0896455351,NA
"665",15.3037260824,NA
"666",15.1436852753,NA
"667",15.2751130586,NA
"668",15.1463813928,NA
"669",13.8889886151,NA
"670",15.1791677871,NA
"671",15.1433099497,NA
"672",14.8445543785,NA
"673",15.1427961788,NA
"674",13.4736930291,NA
"675",12.9744898616,NA
"676",12.436310539,NA
"677",11.6154415455,NA
"678",11.4680367132,NA
"679",10.7879984365,NA
"680",10.6780145945,NA
"681",10.4486156638,NA
"682",10.674971815,NA
"683",9.6484603545,NA
"684",10.4332216986,NA
"685",9.999040294,NA
"686",9.5905403483,NA
"687",9.0756100597,NA
"688",9.3024734034,NA
"689",9.353421262,NA
"690",9.60140574,NA
"691",10.0620350496,NA
"692",9.9984384278,NA
"693",9.5153707222,NA
"694",9.6035053564,NA
"695",10.2200974745,NA
"696",10.0845354483,NA
"697",10.7553673166,NA
"698",10.4359073685,NA
"699",11.4569901634,NA
"700",10.9903528658,NA
"701",13.8317587298,NA
"702",12.3605059756,NA
"703",11.9476548334,NA
"704",12.7607862971,NA
"705",12.7845281446,NA
"706",14.8933106847,NA
"707",15.1918046936,NA
"708",15.1884768738,NA
"709",15.1943855924,NA
"710",15.1995431405,NA
"711",15.205716115,NA
"712",15.2074941675,NA
"713",15.2151348034,NA
"714",15.2304794791,NA
"715",15.2546808606,NA
"716",15.2648719331,NA
"717",15.2955300719,NA
"718",15.3497626185,NA
"719",15.3058960302,NA
"720",15.2605204477,NA
"721",15.2356807257,NA
"722",15.2596523137,NA
"723",15.2571701041,NA
"724",15.2557242289,NA
"725",15.2644792984,NA
"726",15.2818049007,NA
"727",15.2752716257,NA
"728",15.2450640934,NA
"729",15.2569939148,NA
"730",15.2694620519,NA
"731",15.2495541639,NA
"732",15.2177306407,NA
"733",15.2209090428,NA
"734",15.2179583167,NA
"735",15.2103293911,NA
"736",15.1995556056,NA
"737",15.191100372,NA
"738",15.1861453741,NA
"739",15.1852976768,NA
"740",15.1855035775,NA
"741",15.1888706273,NA
"742",15.1896658998,NA
"743",15.1888571676,NA
"744",15.1853918467,NA
"745",15.1839092603,NA
"746",15.1824660827,NA
"747",15.1903917097,NA
"748",15.1941767387,NA
"749",15.1952766969,NA
"750",15.1956320929,NA
"751",15.1970421311,NA
"752",15.1945902913,NA
"753",15.1895078115,NA
"754",15.1924224716,NA
"755",15.193198788,NA
"756",15.194786258,NA
"757",15.194293984,NA
"758",15.1930766687,NA
"759",15.1911450913,NA
"760",15.1830226541,NA
"761",15.2348122711,NA
"762",15.2485100884,NA
"763",15.2360153453,NA
"764",15.1877402884,NA
"765",14.4923510979,NA
"766",15.163474334,NA
"767",15.1744529287,NA
"768",12.1891786583,NA
"769",10.6562754085,NA
"770",11.5843600791,NA
"771",11.0983927858,NA
"772",10.0186217795,NA
"773",10.1614571329,NA
"774",9.4897944139,NA
